FECHA,Tipo de Cambio GTQ/USD,Superior GTQ/GALON,Regular GTQ/GALON,Diesel GTQ/GALON,Bunker GTQ/GALON,Glp Cilindro 25Lbs. GTQ/CIL 25 LB GTQ/CIL 25 LB,Glp Cilindro 25Lbs. GTQ/LB
2021-01-01 00:00:00,7.79382,21.91,21.11,17.61,13.4,99,3.96
2021-01-02 00:00:00,7.79382,21.91,21.11,17.61,13.4,99,3.96
2021-01-03 00:00:00,7.79382,21.91,21.11,17.61,13.4,99,3.96
2021-01-04 00:00:00,7.79417,21.91,21.11,17.61,13.45,99,3.96
2021-01-05 00:00:00,7.79369,21.91,21.11,17.61,13.45,99,3.96
2021-01-06 00:00:00,7.79735,21.91,21.11,17.61,13.45,99,3.96
2021-01-07 00:00:00,7.79493,21.91,21.11,17.61,13.45,99,3.96
2021-01-08 00:00:00,7.80089,21.91,21.11,17.61,13.45,99,3.96
2021-01-09 00:00:00,7.80089,21.91,21.11,17.61,13.45,99,3.96
2021-01-10 00:00:00,7.80089,21.91,21.11,17.61,13.45,99,3.96
2021-01-11 00:00:00,7.79581,22.39,21.59,17.69,13.82,99,3.96
2021-01-12 00:00:00,7.7962,22.39,21.59,17.69,13.82,99,3.96
2021-01-13 00:00:00,7.79686,22.39,21.59,17.69,13.82,101.67,4.07
2021-01-14 00:00:00,7.79124,22.39,21.59,17.69,13.82,101.67,4.07
2021-01-15 00:00:00,7.78903,22.39,21.59,17.69,13.82,101.67,4.07
2021-01-16 00:00:00,7.78903,22.39,21.59,17.69,13.82,107,4.28
2021-01-17 00:00:00,7.78903,22.39,21.59,17.69,13.82,107,4.28
2021-01-18 00:00:00,7.7856,23.21,22.41,18.3,14.05,107,4.28
2021-01-19 00:00:00,7.79345,23.21,22.41,18.3,14.05,107,4.28
2021-01-20 00:00:00,7.78725,23.21,22.41,18.3,14.05,110,4.4
2021-01-21 00:00:00,7.78209,23.21,22.41,18.3,14.05,110,4.4
2021-01-22 00:00:00,7.78162,23.21,22.41,18.3,14.05,110,4.4
2021-01-23 00:00:00,7.78162,23.21,22.41,18.3,14.05,116,4.64
2021-01-24 00:00:00,7.78162,23.21,22.41,18.3,14.05,116,4.64
2021-01-25 00:00:00,7.78124,23.44,22.64,18.47,14.045,116,4.64
2021-01-26 00:00:00,7.77958,23.44,22.64,18.47,14.045,116,4.64
2021-01-27 00:00:00,7.78483,23.44,22.64,18.47,14.045,116,4.64
2021-01-28 00:00:00,7.78262,23.44,22.64,18.47,14.045,116,4.64
2021-01-29 00:00:00,7.78638,23.44,22.64,18.47,14.045,116,4.64
2021-01-30 00:00:00,7.78638,23.44,22.64,18.47,14.045,116,4.64
2021-01-31 00:00:00,7.78638,23.44,22.64,18.47,14.045,116,4.64
2021-02-01 00:00:00,7.78003,23.57,22.77,18.57,13.95,116,4.64
2021-02-02 00:00:00,7.77836,23.57,22.77,18.57,13.95,116,4.64
2021-02-03 00:00:00,7.77857,23.57,22.77,18.57,13.95,116,4.64
2021-02-04 00:00:00,7.77652,23.57,22.77,18.57,13.95,116,4.64
2021-02-05 00:00:00,7.76627,23.57,22.77,18.57,13.95,116,4.64
2021-02-06 00:00:00,7.76627,23.57,22.77,18.57,13.95,116,4.64
2021-02-07 00:00:00,7.76627,23.57,22.77,18.57,13.95,116,4.64
2021-02-08 00:00:00,7.76611,23.98,23.18,18.98,14.25,116,4.64
2021-02-09 00:00:00,7.76291,23.98,23.18,18.98,14.25,116,4.64
2021-02-10 00:00:00,7.75873,23.98,23.18,18.98,14.25,116,4.64
2021-02-11 00:00:00,7.75519,23.98,23.18,18.98,14.25,116,4.64
2021-02-12 00:00:00,7.75002,23.98,23.18,18.98,14.25,116,4.64
2021-02-13 00:00:00,7.75002,23.98,23.18,18.98,14.25,116,4.64
2021-02-14 00:00:00,7.75002,23.98,23.18,18.98,14.25,116,4.64
2021-02-15 00:00:00,7.74667,24.39,23.59,19.79,14.4,116,4.64
2021-02-16 00:00:00,7.7464,24.39,23.59,19.79,14.4,116,4.64
2021-02-17 00:00:00,7.74185,24.39,23.59,19.79,14.4,116,4.64
2021-02-18 00:00:00,7.73698,24.39,23.59,19.79,14.99,116,4.64
2021-02-19 00:00:00,7.73197,24.39,23.59,19.79,14.99,116,4.64
2021-02-20 00:00:00,7.73197,24.39,23.59,19.79,14.99,116,4.64
2021-02-21 00:00:00,7.73197,24.39,23.59,19.79,14.99,116,4.64
2021-02-22 00:00:00,7.71868,25.1,24.3,20.5,14.99,116,4.64
2021-02-23 00:00:00,7.72021,25.1,24.3,20.5,14.99,116,4.64
2021-02-24 00:00:00,7.71568,25.1,24.3,20.5,14.99,116,4.64
2021-02-25 00:00:00,7.7148,25.1,24.3,20.5,14.99,116,4.64
2021-02-26 00:00:00,7.70922,25.1,24.3,20.5,14.99,116,4.64
2021-02-27 00:00:00,7.70922,25.1,24.3,20.5,14.99,116,4.64
2021-02-28 00:00:00,7.70922,25.1,24.3,20.5,14.99,116,4.64
2021-03-01 00:00:00,7.70606,25.85,25.05,20.86,15.54,116,4.64
2021-03-02 00:00:00,7.70271,25.85,25.05,20.86,15.54,116,4.64
2021-03-03 00:00:00,7.70784,25.85,25.05,20.86,15.54,116,4.64
2021-03-04 00:00:00,7.71007,25.85,25.05,20.86,15.54,116,4.64
2021-03-05 00:00:00,7.71553,25.85,25.05,20.86,15.54,116,4.64
2021-03-06 00:00:00,7.71553,25.85,25.05,20.86,15.54,116,4.64
2021-03-07 00:00:00,7.71553,25.85,25.05,20.86,15.54,116,4.64
2021-03-08 00:00:00,7.71276,26.6,25.81,21.31,15.79,116,4.64
2021-03-09 00:00:00,7.71698,26.6,25.81,21.31,15.79,116,4.64
2021-03-10 00:00:00,7.73021,26.6,25.81,21.31,15.79,116,4.64
2021-03-11 00:00:00,7.72378,26.6,25.81,21.31,15.79,118,4.72
2021-03-12 00:00:00,7.73057,26.6,25.81,21.31,15.79,120,4.8
2021-03-13 00:00:00,7.73057,26.6,25.81,21.31,15.79,120,4.8
2021-03-14 00:00:00,7.73057,26.6,25.81,21.31,15.79,120,4.8
2021-03-15 00:00:00,7.72429,27.27,26.47,21.68,15.79,120,4.8
2021-03-16 00:00:00,7.72084,27.27,26.47,21.68,15.79,120,4.8
2021-03-17 00:00:00,7.72462,27.27,26.47,21.68,15.79,120,4.8
2021-03-18 00:00:00,7.72059,27.27,26.47,21.68,15.79,120,4.8
2021-03-19 00:00:00,7.72156,27.27,26.47,21.68,15.79,120,4.8
2021-03-20 00:00:00,7.72156,27.27,26.47,21.68,15.79,120,4.8
2021-03-21 00:00:00,7.72156,27.27,26.47,21.68,15.79,120,4.8
2021-03-22 00:00:00,7.72274,27.02,26.22,21.41,15.79,120,4.8
2021-03-23 00:00:00,7.72002,27.02,26.22,21.41,15.79,120,4.8
2021-03-24 00:00:00,7.72758,27.02,26.22,21.41,15.79,120,4.8
2021-03-25 00:00:00,7.72719,27.02,26.22,21.41,15.79,120,4.8
2021-03-26 00:00:00,7.72379,27.02,26.22,21.41,15.79,120,4.8
2021-03-27 00:00:00,7.72379,27.02,26.22,21.41,15.79,120,4.8
2021-03-28 00:00:00,7.72379,27.02,26.22,21.41,15.79,120,4.8
2021-03-29 00:00:00,7.72267,26.35,25.56,20.8,15.59,120,4.8
2021-03-30 00:00:00,7.7199,26.35,25.56,20.8,15.59,120,4.8
2021-03-31 00:00:00,7.71498,26.35,25.56,20.8,15.59,120,4.8
2021-04-01 00:00:00,7.71498,26.35,25.56,20.8,15.59,120,4.8
2021-04-02 00:00:00,7.71498,26.35,25.56,20.8,15.59,120,4.8
2021-04-03 00:00:00,7.71498,26.35,25.56,20.8,15.59,120,4.8
2021-04-04 00:00:00,7.71498,26.35,25.56,20.8,15.59,120,4.8
2021-04-05 00:00:00,7.7179,26.45,25.66,20.71,15.59,120,4.8
2021-04-06 00:00:00,7.72277,26.45,25.66,20.71,15.59,120,4.8
2021-04-07 00:00:00,7.71815,26.45,25.66,20.71,15.59,120,4.8
2021-04-08 00:00:00,7.71725,26.45,25.66,20.71,15.59,120,4.8
2021-04-09 00:00:00,7.72209,26.45,25.66,20.71,15.59,120,4.8
2021-04-10 00:00:00,7.72209,26.45,25.66,20.71,15.59,120,4.8
2021-04-11 00:00:00,7.72209,26.45,25.66,20.71,15.59,120,4.8
2021-04-12 00:00:00,7.71748,26.97,26.17,20.43,15.44,120,4.8
2021-04-13 00:00:00,7.71454,26.97,26.17,20.43,15.44,120,4.8
2021-04-14 00:00:00,7.71791,26.97,26.17,20.43,15.44,120,4.8
2021-04-15 00:00:00,7.71877,26.97,26.17,20.43,15.44,120,4.8
2021-04-16 00:00:00,7.71832,26.97,26.17,20.43,15.44,120,4.8
2021-04-17 00:00:00,7.71832,26.97,26.17,20.43,15.44,120,4.8
2021-04-18 00:00:00,7.71832,26.97,26.17,20.43,15.44,120,4.8
2021-04-19 00:00:00,7.71216,27,26.2,20.59,16.14,120,4.8
2021-04-20 00:00:00,7.71103,27,26.2,20.59,16.14,120,4.8
2021-04-21 00:00:00,7.71206,27,26.2,20.59,16.14,120,4.8
2021-04-22 00:00:00,7.71432,27,26.2,20.59,16.14,120,4.8
2021-04-23 00:00:00,7.71463,27,26.2,20.59,16.14,120,4.8
2021-04-24 00:00:00,7.71463,27,26.2,20.59,16.14,120,4.8
2021-04-25 00:00:00,7.71463,27,26.2,20.59,16.14,120,4.8
2021-04-26 00:00:00,7.71238,27.27,26.49,20.87,16.44,120,4.8
2021-04-27 00:00:00,7.71167,27.27,26.49,20.87,16.44,120,4.8
2021-04-28 00:00:00,7.71934,27.27,26.49,20.87,16.44,120,4.8
2021-04-29 00:00:00,7.71649,27.27,26.49,20.87,16.44,120,4.8
2021-04-30 00:00:00,7.71812,27.27,26.49,20.87,16.44,120,4.8
2021-05-01 00:00:00,7.71812,27.27,26.49,20.87,16.44,120,4.8
2021-05-02 00:00:00,7.71812,27.27,26.49,20.87,16.44,120,4.8
2021-05-03 00:00:00,7.71812,27.29,26.49,21.12,16.44,120,4.8
2021-05-04 00:00:00,7.71336,27.29,26.49,21.12,16.44,120,4.8
2021-05-05 00:00:00,7.71288,27.29,26.49,21.12,16.44,120,4.8
2021-05-06 00:00:00,7.7117,27.29,26.49,21.12,16.44,120,4.8
2021-05-07 00:00:00,7.71133,27.29,26.49,21.12,16.44,120,4.8
2021-05-08 00:00:00,7.71133,27.29,26.49,21.12,16.44,120,4.8
2021-05-09 00:00:00,7.71133,27.29,26.49,21.12,16.44,120,4.8
2021-05-10 00:00:00,7.71048,27.89,27.09,21.79,16.84,120,4.8
2021-05-11 00:00:00,7.70861,27.89,27.09,21.79,16.84,120,4.8
2021-05-12 00:00:00,7.71034,27.89,27.09,21.79,16.84,120,4.8
2021-05-13 00:00:00,7.70898,27.89,27.09,21.79,16.84,120,4.8
2021-05-14 00:00:00,7.7102,27.89,27.09,21.79,16.84,120,4.8
2021-05-15 00:00:00,7.7102,27.89,27.09,21.79,16.84,120,4.8
2021-05-16 00:00:00,7.7102,27.89,27.09,21.79,16.84,120,4.8
2021-05-17 00:00:00,7.70923,27.9,27.09,21.79,16.99,120,4.8
2021-05-18 00:00:00,7.7092,27.9,27.09,21.79,16.99,120,4.8
2021-05-19 00:00:00,7.71246,27.9,27.09,21.79,16.99,120,4.8
2021-05-20 00:00:00,7.71203,27.9,27.09,21.79,16.99,120,4.8
2021-05-21 00:00:00,7.71822,27.9,27.09,21.79,16.99,120,4.8
2021-05-22 00:00:00,7.71822,27.9,27.09,21.79,16.99,120,4.8
2021-05-23 00:00:00,7.71822,27.9,27.09,21.79,16.99,120,4.8
2021-05-24 00:00:00,7.71544,27.88,27.08,21.78,16.62,120,4.8
2021-05-25 00:00:00,7.71791,27.88,27.08,21.78,16.62,120,4.8
2021-05-26 00:00:00,7.71942,27.88,27.08,21.78,16.62,120,4.8
2021-05-27 00:00:00,7.7219,27.88,27.08,21.78,16.62,120,4.8
2021-05-28 00:00:00,7.72459,27.88,27.08,21.78,16.62,120,4.8
2021-05-29 00:00:00,7.72459,27.88,27.08,21.78,16.62,120,4.8
2021-05-30 00:00:00,7.72459,27.88,27.08,21.78,16.62,120,4.8
2021-05-31 00:00:00,7.72117,28.01,27.22,22.29,16.45,120,4.8
2021-06-01 00:00:00,7.72935,28.01,27.22,22.29,16.45,120,4.8
2021-06-02 00:00:00,7.72179,28.01,27.22,22.29,16.45,120,4.8
2021-06-03 00:00:00,7.72533,28.01,27.22,22.29,16.45,120,4.8
2021-06-04 00:00:00,7.72994,28.01,27.22,22.29,16.45,120,4.8
2021-06-05 00:00:00,7.72994,28.01,27.22,22.29,16.45,120,4.8
2021-06-06 00:00:00,7.72994,28.01,27.22,22.29,16.45,120,4.8
2021-06-07 00:00:00,7.72393,27.99,27.2,22.58,16.78,120,4.8
2021-06-08 00:00:00,7.72481,27.99,27.2,22.58,16.78,120,4.8
2021-06-09 00:00:00,7.73186,27.99,27.2,22.58,16.78,120,4.8
2021-06-10 00:00:00,7.73802,27.99,27.2,22.58,16.78,120,4.8
2021-06-11 00:00:00,7.74072,27.99,27.2,22.58,16.78,120,4.8
2021-06-12 00:00:00,7.74072,27.99,27.2,22.58,16.78,120,4.8
2021-06-13 00:00:00,7.74072,27.99,27.2,22.58,16.78,120,4.8
2021-06-14 00:00:00,7.737,28.19,27.4,22.7,17.04,120,4.8
2021-06-15 00:00:00,7.73582,28.19,27.4,22.7,17.04,120,4.8
2021-06-16 00:00:00,7.74111,28.19,27.4,22.7,17.04,120,4.8
2021-06-17 00:00:00,7.74153,28.19,27.4,22.7,17.04,120,4.8
2021-06-18 00:00:00,7.74443,28.19,27.4,22.7,17.04,120,4.8
2021-06-19 00:00:00,7.74443,28.19,27.4,22.7,17.04,120,4.8
2021-06-20 00:00:00,7.74443,28.19,27.4,22.7,17.04,120,4.8
2021-06-21 00:00:00,7.73757,27.68,26.86,21.88,17.29,120,4.8
2021-06-22 00:00:00,7.738,27.68,26.86,21.88,17.29,120,4.8
2021-06-23 00:00:00,7.74412,27.68,26.86,21.88,17.29,120,4.8
2021-06-24 00:00:00,7.74428,27.68,26.86,21.88,17.29,120,4.8
2021-06-25 00:00:00,7.75033,27.68,26.86,21.88,17.29,120,4.8
2021-06-26 00:00:00,7.75033,27.68,26.86,21.88,17.29,120,4.8
2021-06-27 00:00:00,7.75033,27.68,26.86,21.88,17.29,120,4.8
2021-06-28 00:00:00,7.75033,27.68,26.86,21.88,17.59,120,4.8
2021-06-29 00:00:00,7.75033,27.6,26.8,21.81,17.59,120,4.8
2021-06-30 00:00:00,7.74404,27.6,26.8,21.81,17.59,120,4.8
